response_id,mode,status,attention_check,duration_seconds,region,county,age,gender,race_ethnicity,education,party_registration,ideology,vote_2024,homeownership,children_home,housing_cost_seriousness,allow_more_housing,rent_increase_limit,affordable_housing_tax_credits,development_traffic_concern,corporate_buyer_restrictions,public_land_housing,housing_priority_tradeoff
NVH00240,online,complete,Passed,1362,Rural Nevada,Carson City,20,Female,White non-Hispanic,High school or less,Independent/Other,Somewhat conservative,Harris,Rent,No,Very serious,Strongly support,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00241,online,complete,Passed,813,Clark,Clark,77,Male,White non-Hispanic,Some college/associate,Democrat,Somewhat liberal,Did not vote,Own,No,Somewhat serious,Somewhat support,Strongly support,Strongly support,Somewhat concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00242,online,complete,Passed,1400,Rural Nevada,Lyon,18,Female,White non-Hispanic,College graduate,Republican,Somewhat conservative,Trump,Rent,No,Somewhat serious,Somewhat support,Somewhat oppose,Strongly support,Somewhat concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00243,sms,complete,Passed,810,Washoe,Washoe,20,Male,White non-Hispanic,College graduate,Independent/Other,Moderate,Harris,Rent,No,Not too serious,Strongly support,Strongly support,Strongly support,Not too concerned,Strongly support,Strongly support,Build more homes even if neighborhoods change
NVH00244,online,complete,Passed,201,Clark,Clark,58,Female,White non-Hispanic,College graduate,Republican,Somewhat conservative,Harris,Own,No,Very serious,Somewhat support,Somewhat oppose,Strongly oppose,Somewhat concerned,Strongly support,Somewhat support,Not sure
NVH00245,online,complete,Passed,447,Clark,Clark,31,Female,Other/Mixed,College graduate,Independent/Other,Very conservative,Did not vote,Other arrangement,Yes,Somewhat serious,Somewhat oppose,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00246,online,complete,Passed,981,Clark,Clark,29,Female,White non-Hispanic,High school or less,Independent/Other,Very conservative,Harris,Rent,No,Very serious,Somewhat oppose,Somewhat oppose,Somewhat support,Not too concerned,Not sure,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00247,online,complete,Passed,1331,Clark,Clark,52,Female,White non-Hispanic,Some college/associate,Democrat,Moderate,Trump,Own,No,Somewhat serious,Somewhat support,Somewhat support,Somewhat support,Very concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00248,online,complete,Passed,1168,Clark,Clark,20,Female,White non-Hispanic,College graduate,Republican,Moderate,Trump,Own,No,Very serious,Somewhat oppose,Somewhat oppose,Strongly oppose,Not at all concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00249,sms,complete,Passed,175,Clark,Clark,37,Female,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Harris,Rent,Yes,Very serious,Strongly support,Strongly support,Somewhat oppose,Not at all concerned,Somewhat support,Somewhat support,Not sure
NVH00250,online,complete,Passed,702,Clark,Clark,39,Male,Black,College graduate,Independent/Other,Moderate,Harris,Own,Yes,Very serious,Strongly oppose,Somewhat support,Somewhat oppose,Very concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00251,online,complete,Passed,868,Clark,Clark,51,Female,Asian/Pacific Islander,Postgraduate,Independent/Other,Moderate,Trump,Rent,No,Very serious,Strongly support,Somewhat support,Somewhat support,Somewhat concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00252,online,complete,Passed,264,Rural Nevada,Humboldt,23,Male,Hispanic/Latino,College graduate,Democrat,Moderate,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat oppose,Somewhat concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00253,online,complete,Failed,944,Rural Nevada,Elko,19,Male,White non-Hispanic,College graduate,Independent/Other,Moderate,Trump,Other arrangement,No,Very serious,Somewhat oppose,Somewhat support,Somewhat oppose,Very concerned,Somewhat oppose,Strongly support,Build more homes even if neighborhoods change
NVH00254,online,complete,Passed,629,Clark,Clark,60,Male,Hispanic/Latino,Some college/associate,Democrat,Moderate,Harris,Own,No,Very serious,Somewhat support,Somewhat oppose,Strongly support,Not too concerned,Somewhat oppose,Strongly support,Build more homes even if neighborhoods change
NVH00255,online,complete,Passed,321,Clark,Clark,79,Female,Hispanic/Latino,Postgraduate,Democrat,Moderate,Harris,Other arrangement,No,Very serious,Somewhat oppose,Somewhat support,Somewhat support,Not too concerned,Somewhat support,Strongly oppose,Build more homes even if neighborhoods change
NVH00256,sms,complete,Passed,1175,Clark,Clark,30,Female,Black,High school or less,Republican,Somewhat conservative,Trump,Other arrangement,No,Very serious,Somewhat support,Somewhat support,Strongly oppose,Not too concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00257,online,complete,Passed,673,Clark,Clark,51,Female,Black,College graduate,Democrat,Somewhat liberal,Harris,Other arrangement,No,Somewhat serious,Strongly support,Strongly support,Somewhat support,Not at all concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00258,online,partial,Passed,1238,Clark,Clark,32,Female,Asian/Pacific Islander,College graduate,Republican,Somewhat conservative,Trump,Own,No,Very serious,Somewhat oppose,Strongly support,Somewhat oppose,Somewhat concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00259,sms,complete,Passed,1397,Washoe,Washoe,64,Female,White non-Hispanic,College graduate,Independent/Other,Moderate,Other,Own,No,Very serious,Not sure,Strongly support,Strongly support,Very concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00260,online,complete,Passed,182,Clark,Clark,27,Female,White non-Hispanic,Some college/associate,Republican,Moderate,Trump,Rent,No,Very serious,Somewhat support,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00261,online,complete,Passed,952,Clark,Clark,66,Female,White non-Hispanic,Some college/associate,Democrat,Very liberal,Other,Rent,No,Very serious,Strongly support,Strongly support,Somewhat support,Not at all concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00262,sms,complete,Passed,996,Clark,Clark,61,Male,White non-Hispanic,High school or less,Independent/Other,Somewhat liberal,Trump,Rent,No,Very serious,Strongly support,Strongly support,Somewhat support,Not too concerned,Somewhat support,Strongly oppose,Build more homes even if neighborhoods change
NVH00263,sms,complete,Passed,1377,Clark,Clark,18,Female,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Other,Own,No,Very serious,Somewhat oppose,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00264,sms,complete,Passed,533,Clark,Clark,25,Male,Hispanic/Latino,Some college/associate,Independent/Other,Very conservative,Harris,Rent,No,Very serious,Somewhat oppose,Strongly oppose,Strongly oppose,Not at all concerned,Somewhat oppose,Strongly oppose,Build more homes even if neighborhoods change
NVH00265,online,complete,Passed,950,Clark,Clark,29,Male,White non-Hispanic,Postgraduate,Independent/Other,Moderate,Trump,Rent,No,Very serious,Somewhat oppose,Strongly support,Somewhat support,Somewhat concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00266,online,complete,Passed,953,Clark,Clark,51,Female,Hispanic/Latino,Some college/associate,Democrat,Very liberal,Harris,Own,No,Somewhat serious,Somewhat support,Strongly support,Somewhat oppose,Somewhat concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00267,sms,complete,Failed,1206,Rural Nevada,Humboldt,57,Female,White non-Hispanic,High school or less,Democrat,Very liberal,Other,Own,No,Somewhat serious,Somewhat oppose,Strongly support,Strongly support,Very concerned,Somewhat oppose,Somewhat oppose,Build more homes even if neighborhoods change
NVH00268,online,complete,Passed,819,Clark,Clark,26,Female,White non-Hispanic,Postgraduate,Independent/Other,Somewhat conservative,Trump,Own,No,Somewhat serious,Somewhat support,Somewhat support,Somewhat oppose,Very concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00269,online,complete,Passed,400,Clark,Clark,25,Female,White non-Hispanic,High school or less,Republican,Very conservative,Trump,Rent,No,Very serious,Somewhat support,Strongly support,Strongly oppose,Not at all concerned,Somewhat support,Somewhat support,Build more homes even if neighborhoods change
NVH00270,online,complete,Passed,341,Clark,Clark,62,Male,White non-Hispanic,Some college/associate,Democrat,Very liberal,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat support,Not too concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00271,online,complete,Passed,651,Clark,Clark,38,Male,White non-Hispanic,Some college/associate,Independent/Other,Very liberal,Did not vote,Rent,No,Very serious,Not sure,Somewhat support,Not sure,Somewhat concerned,Somewhat support,Not sure,Build more homes even if neighborhoods change
NVH00272,sms,complete,Failed,1388,Clark,Clark,64,Male,Hispanic/Latino,High school or less,Republican,Very conservative,Did not vote,Rent,No,Very serious,Somewhat support,Somewhat support,Strongly support,Not too concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00273,online,complete,Passed,238,Clark,Clark,42,Female,White non-Hispanic,High school or less,Independent/Other,Moderate,Harris,Own,No,Somewhat serious,Somewhat support,Somewhat oppose,Strongly support,Somewhat concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00274,online,complete,Passed,866,Clark,Clark,51,Female,White non-Hispanic,Postgraduate,Republican,Very conservative,Trump,Own,No,Somewhat serious,Somewhat oppose,Strongly support,Strongly support,Somewhat concerned,Not sure,Somewhat support,Not sure
NVH00275,online,complete,Passed,804,Clark,Clark,48,Female,White non-Hispanic,Some college/associate,Independent/Other,Moderate,Harris,Own,No,Very serious,Strongly support,Somewhat support,Somewhat oppose,Very concerned,Strongly support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00276,online,complete,Passed,1085,Clark,Clark,55,Male,White non-Hispanic,College graduate,Democrat,Very liberal,Did not vote,Rent,No,Very serious,Strongly support,Strongly support,Somewhat oppose,Not too concerned,Strongly support,Somewhat support,Not sure
NVH00277,online,complete,Passed,540,Clark,Clark,22,Female,White non-Hispanic,College graduate,Independent/Other,Somewhat liberal,Did not vote,Own,No,Somewhat serious,Somewhat support,Somewhat oppose,Strongly support,Not too concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00278,sms,complete,Passed,330,Clark,Clark,66,Female,White non-Hispanic,Some college/associate,Democrat,Moderate,Did not vote,Rent,Yes,Very serious,Strongly support,Strongly support,Somewhat oppose,Somewhat concerned,Strongly support,Strongly oppose,Not sure
NVH00279,online,complete,Passed,1324,Washoe,Washoe,41,Male,White non-Hispanic,College graduate,Independent/Other,Moderate,Harris,Rent,No,Very serious,Somewhat support,Somewhat support,Somewhat oppose,Somewhat concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00280,online,complete,Passed,238,Clark,Clark,29,Female,White non-Hispanic,Some college/associate,Independent/Other,Somewhat conservative,Trump,Rent,Yes,Somewhat serious,Somewhat support,Strongly support,Strongly support,Not at all concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00281,sms,complete,Passed,1101,Clark,Clark,63,Male,Hispanic/Latino,Some college/associate,Republican,Very conservative,Other,Rent,Yes,Not too serious,Somewhat support,Somewhat oppose,Strongly support,Not at all concerned,Strongly support,Strongly support,Not sure
NVH00282,sms,complete,Passed,367,Clark,Clark,48,Female,White non-Hispanic,High school or less,Independent/Other,Moderate,Did not vote,Own,Yes,Somewhat serious,Somewhat oppose,Somewhat support,Somewhat support,Not at all concerned,Strongly support,Not sure,Protect existing neighborhoods even if fewer homes are built
NVH00283,sms,complete,Passed,429,Washoe,Washoe,43,Male,Other/Mixed,High school or less,Independent/Other,Moderate,Other,Own,No,Somewhat serious,Somewhat oppose,Somewhat support,Strongly support,Very concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00284,online,complete,Passed,497,Clark,Clark,45,Male,White non-Hispanic,Some college/associate,Independent/Other,Moderate,Harris,Rent,No,Somewhat serious,Somewhat oppose,Strongly support,Somewhat support,Somewhat concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00285,sms,complete,Passed,850,Clark,Clark,20,Female,Black,Some college/associate,Independent/Other,Somewhat conservative,Trump,Own,Yes,Not too serious,Somewhat support,Somewhat oppose,Somewhat oppose,Somewhat concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00286,sms,complete,Passed,270,Clark,Clark,33,Female,Hispanic/Latino,Some college/associate,Republican,Moderate,Trump,Rent,No,Very serious,Somewhat support,Somewhat oppose,Strongly oppose,Not too concerned,Somewhat support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00287,online,complete,Passed,447,Clark,Clark,41,Female,Hispanic/Latino,Postgraduate,Democrat,Very liberal,Harris,Other arrangement,No,Very serious,Somewhat oppose,Strongly support,Somewhat support,Very concerned,Somewhat oppose,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00288,online,complete,Passed,392,Clark,Clark,20,Male,Other/Mixed,College graduate,Independent/Other,Somewhat liberal,Harris,Rent,No,Somewhat serious,Somewhat oppose,Strongly support,Strongly support,Not too concerned,Strongly oppose,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00289,online,complete,Passed,241,Clark,Clark,43,Female,White non-Hispanic,High school or less,Independent/Other,Somewhat conservative,Harris,Rent,No,Very serious,Somewhat oppose,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00290,online,complete,Passed,381,Clark,Clark,31,Female,White non-Hispanic,Postgraduate,Republican,Very conservative,Trump,Rent,No,Somewhat serious,Somewhat support,Somewhat support,Somewhat oppose,Somewhat concerned,Strongly support,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00291,online,complete,Passed,985,Clark,Clark,63,Male,White non-Hispanic,Postgraduate,Democrat,Very liberal,Harris,Own,No,Very serious,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat concerned,Somewhat oppose,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00292,online,complete,Passed,596,Clark,Clark,55,Male,White non-Hispanic,College graduate,Republican,Moderate,Trump,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat support,Not too concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00293,online,terminated,Passed,1264,Clark,Clark,32,Male,White non-Hispanic,High school or less,Independent/Other,Somewhat liberal,Harris,Rent,Yes,Somewhat serious,Strongly support,Strongly support,Strongly oppose,Somewhat concerned,Somewhat oppose,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00294,sms,complete,Failed,955,Washoe,Washoe,66,Female,White non-Hispanic,Some college/associate,Republican,Somewhat conservative,Trump,Other arrangement,No,Somewhat serious,Strongly support,Strongly oppose,Strongly support,Not too concerned,Strongly support,Not sure,Build more homes even if neighborhoods change
NVH00295,sms,complete,Passed,753,Clark,Clark,41,Male,Black,Postgraduate,Democrat,Very conservative,Harris,Rent,No,Very serious,Not sure,Somewhat support,Somewhat support,Not too concerned,Somewhat support,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00296,online,complete,Passed,1262,Clark,Clark,33,Male,White non-Hispanic,Some college/associate,Democrat,Very liberal,Harris,Own,Yes,Very serious,Strongly support,Strongly support,Somewhat support,Not too concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00297,online,complete,Passed,1082,Clark,Clark,33,Male,White non-Hispanic,College graduate,Republican,Moderate,Trump,Rent,No,Very serious,Strongly support,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00298,online,complete,Passed,1056,Washoe,Washoe,63,Female,Hispanic/Latino,Some college/associate,Independent/Other,Somewhat liberal,Harris,Other arrangement,Yes,Very serious,Somewhat oppose,Strongly support,Somewhat oppose,Very concerned,Strongly support,Somewhat support,Not sure
NVH00299,online,partial,Failed,328,Washoe,Washoe,51,Female,Hispanic/Latino,College graduate,Democrat,Moderate,Harris,Own,No,Somewhat serious,Somewhat oppose,Strongly support,Somewhat oppose,Not too concerned,Strongly support,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00300,online,complete,Passed,379,Clark,Clark,20,Male,White non-Hispanic,College graduate,Democrat,Somewhat conservative,Harris,Rent,Yes,Very serious,Strongly support,Strongly support,Somewhat support,Not at all concerned,Strongly support,Somewhat support,Not sure
NVH00301,online,complete,Passed,754,Washoe,Washoe,29,Female,Other/Mixed,College graduate,Republican,Somewhat conservative,Trump,Own,Yes,Very serious,Somewhat oppose,Somewhat oppose,Somewhat oppose,Not too concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00302,sms,complete,Passed,576,Clark,Clark,22,Female,Hispanic/Latino,Postgraduate,Republican,Very conservative,Trump,Rent,Yes,Somewhat serious,Somewhat oppose,Somewhat support,Somewhat support,Not too concerned,Not sure,Somewhat support,Protect existing neighborhoods even if fewer homes are built
NVH00303,online,complete,Passed,276,Washoe,Washoe,33,Female,Hispanic/Latino,Some college/associate,Republican,Somewhat conservative,Other,Own,No,Very serious,Strongly oppose,Somewhat oppose,Strongly oppose,Very concerned,Somewhat oppose,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00304,online,terminated,Passed,719,Washoe,Washoe,74,Male,Hispanic/Latino,Some college/associate,Democrat,Somewhat liberal,Harris,Own,Yes,Somewhat serious,Somewhat oppose,Strongly support,Somewhat oppose,Very concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00305,sms,complete,Passed,396,Clark,Clark,18,Male,Asian/Pacific Islander,Some college/associate,Independent/Other,Moderate,Harris,Rent,Yes,Very serious,Somewhat support,Somewhat oppose,Strongly oppose,Somewhat concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00306,online,complete,Passed,1428,Clark,Clark,34,Male,White non-Hispanic,High school or less,Independent/Other,Somewhat conservative,Harris,Rent,No,Very serious,Strongly oppose,Somewhat oppose,Strongly support,Somewhat concerned,Somewhat oppose,Somewhat oppose,Build more homes even if neighborhoods change
NVH00307,sms,terminated,Passed,240,Clark,Clark,81,Female,White non-Hispanic,Some college/associate,Independent/Other,Moderate,Other,Rent,No,Very serious,Somewhat support,Somewhat oppose,Not sure,Not too concerned,Somewhat oppose,Strongly oppose,Not sure
NVH00308,online,complete,Passed,212,Washoe,Washoe,39,Male,Black,High school or less,Republican,Somewhat conservative,Trump,Rent,No,Somewhat serious,Not sure,Not sure,Not sure,Somewhat concerned,Strongly support,Somewhat support,Not sure
NVH00309,online,complete,Failed,625,Clark,Clark,28,Female,White non-Hispanic,Some college/associate,Democrat,Somewhat liberal,Harris,Rent,Yes,Very serious,Not sure,Strongly support,Somewhat oppose,Somewhat concerned,Somewhat support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00310,online,complete,Passed,1347,Clark,Clark,22,Male,Asian/Pacific Islander,High school or less,Independent/Other,Very liberal,Trump,Own,Yes,Somewhat serious,Not sure,Strongly support,Strongly oppose,Very concerned,Strongly support,Strongly support,Build more homes even if neighborhoods change
NVH00311,online,complete,Passed,322,Clark,Clark,55,Female,White non-Hispanic,Some college/associate,Independent/Other,Moderate,Harris,Own,No,Very serious,Somewhat support,Somewhat oppose,Somewhat support,Not at all concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00312,online,complete,Failed,353,Clark,Clark,62,Male,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Harris,Rent,No,Somewhat serious,Strongly support,Strongly support,Somewhat support,Very concerned,Somewhat support,Strongly oppose,Protect existing neighborhoods even if fewer homes are built
NVH00313,sms,complete,Passed,249,Clark,Clark,61,Female,White non-Hispanic,College graduate,Independent/Other,Moderate,Trump,Rent,No,Not too serious,Somewhat support,Strongly support,Strongly support,Somewhat concerned,Strongly support,Somewhat oppose,Not sure
NVH00314,online,complete,Passed,907,Clark,Clark,78,Female,White non-Hispanic,College graduate,Independent/Other,Moderate,Did not vote,Rent,No,Very serious,Strongly support,Somewhat oppose,Somewhat support,Not too concerned,Somewhat support,Somewhat oppose,Not sure
NVH00315,sms,complete,Passed,1012,Clark,Clark,39,Female,Hispanic/Latino,Postgraduate,Democrat,Somewhat liberal,Trump,Own,No,Very serious,Somewhat support,Somewhat support,Not sure,Somewhat concerned,Somewhat support,Not sure,Build more homes even if neighborhoods change
NVH00316,online,complete,Passed,859,Clark,Clark,47,Male,Hispanic/Latino,Some college/associate,Democrat,Very liberal,Harris,Own,No,Somewhat serious,Somewhat support,Strongly support,Somewhat support,Very concerned,Somewhat oppose,Somewhat support,Not sure
NVH00317,online,complete,Passed,935,Washoe,Washoe,76,Female,Hispanic/Latino,College graduate,Independent/Other,Moderate,Harris,Own,No,Somewhat serious,Strongly support,Somewhat support,Strongly oppose,Somewhat concerned,Strongly support,Strongly support,Build more homes even if neighborhoods change
NVH00318,online,complete,Passed,863,Washoe,Washoe,20,Female,White non-Hispanic,College graduate,Independent/Other,Moderate,Harris,Own,No,Very serious,Not sure,Strongly support,Somewhat support,Not too concerned,Somewhat oppose,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00319,online,complete,Passed,716,Clark,Clark,62,Male,Black,Some college/associate,Democrat,Moderate,Did not vote,Other arrangement,No,Very serious,Strongly support,Somewhat oppose,Somewhat support,Not too concerned,Somewhat oppose,Not sure,Build more homes even if neighborhoods change
NVH00320,online,complete,Passed,854,Clark,Clark,51,Male,White non-Hispanic,College graduate,Democrat,Somewhat conservative,Harris,Rent,Yes,Very serious,Somewhat support,Strongly support,Somewhat support,Somewhat concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00321,sms,complete,Passed,1028,Clark,Clark,26,Female,Hispanic/Latino,Postgraduate,Independent/Other,Moderate,Trump,Own,No,Very serious,Somewhat support,Strongly oppose,Somewhat oppose,Somewhat concerned,Somewhat oppose,Not sure,Build more homes even if neighborhoods change
NVH00322,online,complete,Passed,773,Clark,Clark,58,Male,White non-Hispanic,High school or less,Democrat,Somewhat liberal,Harris,Other arrangement,No,Not too serious,Somewhat oppose,Strongly support,Strongly oppose,Not at all concerned,Strongly support,Somewhat oppose,Build more homes even if neighborhoods change
NVH00323,online,complete,Passed,373,Clark,Clark,38,Female,Black,College graduate,Republican,Somewhat conservative,Harris,Own,No,Very serious,Somewhat support,Somewhat support,Somewhat support,Not too concerned,Strongly support,Somewhat support,Not sure
NVH00324,online,complete,Passed,579,Clark,Clark,30,Female,Hispanic/Latino,Postgraduate,Republican,Moderate,Trump,Rent,No,Very serious,Somewhat support,Somewhat oppose,Strongly support,Not too concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00325,online,complete,Failed,368,Clark,Clark,80,Female,White non-Hispanic,High school or less,Independent/Other,Moderate,Other,Own,No,Very serious,Strongly oppose,Somewhat oppose,Somewhat support,Very concerned,Somewhat oppose,Somewhat oppose,Not sure
NVH00326,sms,complete,Passed,1193,Clark,Clark,69,Female,Black,College graduate,Democrat,Moderate,Harris,Own,No,Somewhat serious,Somewhat support,Somewhat support,Somewhat support,Not too concerned,Somewhat support,Strongly oppose,Build more homes even if neighborhoods change
NVH00327,online,complete,Passed,527,Clark,Clark,54,Female,Hispanic/Latino,College graduate,Independent/Other,Moderate,Trump,Rent,No,Somewhat serious,Strongly oppose,Somewhat support,Strongly oppose,Somewhat concerned,Somewhat support,Strongly support,Build more homes even if neighborhoods change
NVH00328,online,partial,Passed,273,Clark,Clark,27,Male,White non-Hispanic,College graduate,Independent/Other,Somewhat conservative,Harris,Own,No,Somewhat serious,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat concerned,Somewhat support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00329,online,complete,Passed,1132,Clark,Clark,42,Female,Hispanic/Latino,High school or less,Independent/Other,Moderate,Harris,Own,No,Very serious,Somewhat oppose,Somewhat support,Strongly support,Very concerned,Somewhat support,Somewhat support,Not sure
NVH00330,online,complete,Passed,1192,Clark,Clark,41,Male,White non-Hispanic,High school or less,Independent/Other,Somewhat conservative,Trump,Own,No,Very serious,Somewhat oppose,Somewhat oppose,Strongly support,Somewhat concerned,Strongly support,Somewhat support,Not sure
NVH00331,online,complete,Passed,851,Clark,Clark,45,Female,Asian/Pacific Islander,Postgraduate,Republican,Somewhat conservative,Trump,Rent,No,Somewhat serious,Somewhat support,Somewhat support,Strongly support,Very concerned,Strongly support,Somewhat support,Build more homes even if neighborhoods change
NVH00332,online,complete,Passed,286,Clark,Clark,57,Male,Hispanic/Latino,Some college/associate,Democrat,Moderate,Harris,Other arrangement,No,Very serious,Somewhat oppose,Somewhat support,Somewhat oppose,Somewhat concerned,Somewhat oppose,Somewhat oppose,Not sure
NVH00333,sms,complete,Passed,593,Clark,Clark,27,Female,Hispanic/Latino,College graduate,Republican,Very conservative,Trump,Rent,No,Somewhat serious,Strongly oppose,Not sure,Somewhat support,Somewhat concerned,Not sure,Somewhat oppose,Build more homes even if neighborhoods change
NVH00334,sms,complete,Failed,965,Clark,Clark,58,Male,Hispanic/Latino,College graduate,Independent/Other,Very liberal,Harris,Own,No,Very serious,Somewhat support,Somewhat support,Somewhat support,Somewhat concerned,Somewhat support,Somewhat support,Not sure
NVH00335,online,partial,Failed,442,Clark,Clark,33,Male,White non-Hispanic,High school or less,Democrat,Somewhat liberal,Harris,Rent,No,Somewhat serious,Strongly support,Strongly support,Somewhat support,Somewhat concerned,Somewhat oppose,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00336,online,complete,Passed,779,Washoe,Washoe,21,Female,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat oppose,Not too concerned,Somewhat oppose,Not sure,Build more homes even if neighborhoods change
NVH00337,online,complete,Passed,625,Clark,Clark,48,Female,Black,High school or less,Democrat,Somewhat liberal,Harris,Own,No,Somewhat serious,Strongly support,Somewhat support,Somewhat support,Somewhat concerned,Strongly support,Strongly oppose,Not sure
NVH00338,online,complete,Passed,1297,Clark,Clark,77,Male,Asian/Pacific Islander,Some college/associate,Democrat,Moderate,Harris,Own,No,Very serious,Somewhat oppose,Somewhat support,Strongly support,Very concerned,Somewhat oppose,Strongly support,Protect existing neighborhoods even if fewer homes are built
NVH00339,online,complete,Passed,1011,Clark,Clark,69,Female,White non-Hispanic,College graduate,Independent/Other,Very conservative,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Somewhat oppose,Somewhat concerned,Strongly support,Strongly oppose,Build more homes even if neighborhoods change
NVH00340,sms,complete,Passed,842,Clark,Clark,35,Male,White non-Hispanic,Postgraduate,Independent/Other,Moderate,Did not vote,Own,No,Somewhat serious,Somewhat oppose,Somewhat oppose,Strongly support,Somewhat concerned,Somewhat support,Strongly oppose,Build more homes even if neighborhoods change
NVH00341,sms,partial,Passed,778,Washoe,Washoe,77,Female,Hispanic/Latino,High school or less,Republican,Very conservative,Trump,Own,No,Very serious,Strongly oppose,Strongly support,Somewhat oppose,Not too concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
NVH00342,online,complete,Passed,1283,Clark,Clark,36,Male,White non-Hispanic,College graduate,Democrat,Somewhat liberal,Harris,Rent,No,Very serious,Somewhat support,Strongly support,Strongly support,Not at all concerned,Somewhat support,Not sure,Not sure
NVH00343,online,complete,Passed,756,Washoe,Washoe,54,Male,Black,College graduate,Democrat,Somewhat liberal,Harris,Own,No,Not too serious,Somewhat support,Somewhat oppose,Somewhat oppose,Somewhat concerned,Strongly support,Somewhat oppose,Protect existing neighborhoods even if fewer homes are built
